경덕진도록,0,0,0,NNP,*,T,경덕진도록,Compound,*,*,경덕진+도록,경덕/NNG/*/1/1+경덕진도록/Compound/*/0/3+경덕진/NNG/*/0/2+진/NNG/*/1/1+도록/NNG/*/1/1
경도잡지,0,0,0,NNP,*,F,경도잡지,Compound,*,*,경도+잡지,경도/NNG/*/1/1+경도잡지/Compound/*/0/2+잡지/NNG/*/1/1
경모궁의궤,0,0,0,NNP,*,F,경모궁의궤,Compound,*,*,경모궁+의궤,경모/NNG/*/1/1+경모궁의궤/Compound/*/0/3+경모궁/NNG/*/0/2+궁/NNG/*/1/1+의궤/NNG/*/1/1
경민편,0,0,0,NNP,*,T,경민편,Compound,*,*,경민+편,경민/NNG/*/1/1+경민편/Compound/*/0/2+편/NNG/*/1/1
경민편언해,0,0,0,NNP,*,F,경민편언해,Compound,*,*,경민편+언해,경민/NNG/*/1/1+경민편언해/Compound/*/0/3+경민편/NNG/*/0/2+편/NNG/*/1/1+언해/NNG/*/1/1
경상도속찬지리지,0,0,0,NNP,*,F,경상도속찬지리지,Compound,*,*,경상도속찬+지리지,경상도속찬/NNG/*/1/1+경상도속찬지리지/Compound/*/0/3+지리/NNG/*/1/1+지리지/NNG/*/0/2+지/NNG/*/1/1
경상도지리지,0,0,0,NNP,*,F,경상도지리지,Compound,*,*,경상도+지리지,경상/NNG/*/1/1+경상도지리지/Compound/*/0/4+경상도/NNG/*/0/2+도/NNG/*/1/1+지리/NNG/*/1/1+지리지/NNG/*/0/2+지/NNG/*/1/1
경서정음,0,0,0,NNP,*,T,경서정음,Compound,*,*,경서+정음,경서/NNG/*/1/1+경서정음/Compound/*/0/2+정음/NNG/*/1/1
경성부사,0,0,0,NNP,*,F,경성부사,Compound,*,*,경성부+사,경성/NNG/*/1/1+경성부사/Compound/*/0/3+경성부/NNG/*/0/2+부/NNG/*/1/1+사/NNG/*/1/1
경세대전,0,0,0,NNP,*,T,경세대전,Compound,*,*,경세+대전,경세/NNG/*/1/1+경세대전/Compound/*/0/2+대전/NNG/*/1/1
경세유표,0,0,0,NNP,*,F,경세유표,Compound,*,*,경세+유표,경세/NNG/*/1/1+경세유표/Compound/*/0/2+유표/NNG/*/1/1
경세정운도설,0,0,0,NNP,*,T,경세정운도설,Compound,*,*,경세정운+도설,경세정운/NNG/*/1/1+경세정운도설/Compound/*/0/2+도설/NNG/*/1/1
경세편,0,0,0,NNP,*,T,경세편,Compound,*,*,경세+편,경세/NNG/*/1/1+경세편/Compound/*/0/2+편/NNG/*/1/1
경세훈민정음도설,0,0,0,NNP,*,T,경세훈민정음도설,Compound,*,*,경세훈민정음+도설,경세훈민정음/NNG/*/1/1+경세훈민정음도설/Compound/*/0/2+도설/NNG/*/1/1
